,DewpointF_last_1hr_avg,DewpointF_last_1hr_avg_decrease,DewpointF_last_1hr_avg_increase,DewpointF_last_1hr_change,DewpointF_latest,Humidity_last_1hr_avg,Humidity_last_1hr_avg_decrease,Humidity_last_1hr_avg_increase,Humidity_last_1hr_change,Humidity_latest,PressureIn_last_1hr_avg,PressureIn_last_1hr_change,PressureIn_latest,TemperatureF_last_1hr_avg,TemperatureF_last_1hr_avg_decrease,TemperatureF_last_1hr_avg_increase,TemperatureF_last_1hr_change,TemperatureF_latest,WindSpeedGustMPH_last_1hr_max,WindSpeedGustMPH_latest,WindSpeedMPH_last_1hr_avg,WindSpeedMPH_latest,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,mean_station_dist_mi,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,station_count,time_of_day,unique_event_id,vehicle_action
0,41.611111111111114,0.059375000000000025,0.08750000000000002,-0.14999999999999938,41.52222222222221,79.23611111111111,0.321875,0.059375,1.59375,80.0,30.163333333333338,-0.009062500000000195,30.158333333333335,49.036111111111126,0.00625,0.11562500000000006,-0.6781249999999999,48.7,6.0,6.0,0.21363636363636368,0.3227272727272727,Not Deployed,,Did Not Grant RW to Vehicle,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,12.0,47.6740631426285,Daylight,-122.20232710880474,3.5724220044752735,5.0,,,,,25.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,62.0,12:13:00,1.0,Making Left Turn
1,41.611111111111114,0.059375000000000025,0.08750000000000002,-0.14999999999999938,41.52222222222221,79.23611111111111,0.321875,0.059375,1.59375,80.0,30.163333333333338,-0.009062500000000195,30.158333333333335,49.036111111111126,0.00625,0.11562500000000006,-0.6781249999999999,48.7,6.0,6.0,0.21363636363636368,0.3227272727272727,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,Possible Injury,Lap & Shoulder Used,12.0,47.6740631426285,Daylight,-122.20232710880474,3.5724220044752735,5.0,,,,,25.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,62.0,12:13:00,1.0,Going Straight Ahead
2,48.25813953488372,0.2555555555555556,0.1814814814814815,0.38148148148148214,48.50232558139533,65.90227272727273,0.3666666666666667,0.8925925925925925,-3.8518518518518516,64.45454545454545,30.13674418604652,-0.025555555555555602,30.124186046511635,60.11363636363637,0.44074074074074077,0.12962962962962962,2.0851851851851855,60.99090909090908,10.0,10.0,2.625,3.1392857142857147,Front Airbag Deployed,,Improper Passing,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,3.4258830337897397,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,84.0,17:13:00,2.0,Overtaking and Passing
3,48.25813953488372,0.2555555555555556,0.1814814814814815,0.38148148148148214,48.50232558139533,65.90227272727273,0.3666666666666667,0.8925925925925925,-3.8518518518518516,64.45454545454545,30.13674418604652,-0.025555555555555602,30.124186046511635,60.11363636363637,0.44074074074074077,0.12962962962962962,2.0851851851851855,60.99090909090908,10.0,10.0,2.625,3.1392857142857147,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,3.4258830337897397,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,84.0,17:13:00,2.0,Going Straight Ahead
4,48.25813953488372,0.2555555555555556,0.1814814814814815,0.38148148148148214,48.50232558139533,65.90227272727273,0.3666666666666667,0.8925925925925925,-3.8518518518518516,64.45454545454545,30.13674418604652,-0.025555555555555602,30.124186046511635,60.11363636363637,0.44074074074074077,0.12962962962962962,2.0851851851851855,60.99090909090908,10.0,10.0,2.625,3.1392857142857147,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,17.0,47.53476309448785,Daylight,-122.29592669462946,3.4258830337897397,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,84.0,17:13:00,2.0,Going Straight Ahead
5,48.25813953488372,0.2555555555555556,0.1814814814814815,0.38148148148148214,48.50232558139533,65.90227272727273,0.3666666666666667,0.8925925925925925,-3.8518518518518516,64.45454545454545,30.13674418604652,-0.025555555555555602,30.124186046511635,60.11363636363637,0.44074074074074077,0.12962962962962962,2.0851851851851855,60.99090909090908,10.0,10.0,2.625,3.1392857142857147,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,17.0,47.53476309448785,Daylight,-122.29592669462946,3.4258830337897397,5.0,,,,,,Straight & Level,Dry,,,84.0,17:13:00,2.0,
6,43.28124999999999,0.12307692307692308,0.2076923076923077,-0.6384615384615377,42.82,64.61875,0.5538461538461539,0.29230769230769227,1.0,64.86666666666666,30.230000000000004,-0.001538461538461779,30.228666666666665,54.970588235294116,0.015384615384615385,0.20769230769230768,-1.0615384615384618,54.38666666666667,9.8,7.0,1.9636363636363638,1.3555555555555554,Front Airbag Deployed,,Inattention,,,Clear or Partly Cloudy,,,2016-05-01,6.0,Evident Injury,Lap & Shoulder Used,7.0,47.43154233162594,Daylight,-122.29541471964758,2.9241512700095984,5.0,,,,,40.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,33.0,07:41:00,3.0,Going Straight Ahead
7,43.28124999999999,0.12307692307692308,0.2076923076923077,-0.6384615384615377,42.82,64.61875,0.5538461538461539,0.29230769230769227,1.0,64.86666666666666,30.230000000000004,-0.001538461538461779,30.228666666666665,54.970588235294116,0.015384615384615385,0.20769230769230768,-1.0615384615384618,54.38666666666667,9.8,7.0,1.9636363636363638,1.3555555555555554,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,7.0,47.43154233162594,Daylight,-122.29541471964758,2.9241512700095984,5.0,,,,,,Straight & Grade,Wet,,,33.0,07:41:00,3.0,
8,45.13478260869566,0.24000000000000005,0.38999999999999996,-1.155000000000001,44.67391304347826,45.66666666666668,0.4600000000000001,0.53,-0.8,45.82608695652174,30.269130434782607,-0.009000000000000164,30.2795652173913,66.86250000000001,0.06999999999999999,0.18500000000000005,-0.7149999999999987,66.54782608695653,12.0,10.0,2.242857142857143,2.1384615384615384,Front Airbag Deployed,Test Given - Results Pending,Under Influence of Alcohol,Inattention,Unknown Driver Distraction,Clear or Partly Cloudy,,,2016-05-01,6.0,Serious Injury,No Restraints Used,1.0,47.578178465821075,Dark-Street Lights On,-122.20970932286603,3.7950439924648656,5.0,,,,,60.0,Straight & Level,Dry,Concrete,HBD - Ability Impaired,42.0,01:47:00,4.0,Changing Lanes
9,45.13478260869566,0.24000000000000005,0.38999999999999996,-1.155000000000001,44.67391304347826,45.66666666666668,0.4600000000000001,0.53,-0.8,45.82608695652174,30.269130434782607,-0.009000000000000164,30.2795652173913,66.86250000000001,0.06999999999999999,0.18500000000000005,-0.7149999999999987,66.54782608695653,12.0,10.0,2.242857142857143,2.1384615384615384,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,1.0,47.578178465821075,Dark-Street Lights On,-122.20970932286603,3.7950439924648656,5.0,,,,,60.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,42.0,01:47:00,4.0,Stopped in Roadway
