,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
0,Unknown,,Exceeding Reas. Safe Speed,,,Clear or Partly Cloudy,,,2016-07-21,3.0,No Injury,Unknown,16.0,47.59587497382828,Daylight,-122.30895915090765,7.0,,,,,,Straight & Grade,Wet,Blacktop,Unknown,16:15:00,Making Right Turn,60.04230769230769,0.2478260869565217,0.2565217391304348,0.09130434782608671,59.91200000000001,45.93076923076923,0.33043478260869574,0.45217391304347826,-0.5652173913043478,45.68,0.0,0.0,29.970384615384617,0.002173913043478601,29.970800000000004,83.20384615384614,0.26521739130434785,0.1826086956521739,0.5173913043478258,83.26800000000001,14.5,13.5,4.2,4.508333333333334,1.8029299455397636,50.0,1.0
1,Unknown,,None,,,Clear or Partly Cloudy,,,2016-07-21,3.0,Unknown,Unknown,16.0,47.59587497382828,Daylight,-122.30895915090765,7.0,,,,,,Straight & Grade,Wet,,,16:15:00,"Legally Parked, Unoccupied",60.04230769230769,0.2478260869565217,0.2565217391304348,0.09130434782608671,59.91200000000001,45.93076923076923,0.33043478260869574,0.45217391304347826,-0.5652173913043478,45.68,0.0,0.0,29.970384615384617,0.002173913043478601,29.970800000000004,83.20384615384614,0.26521739130434785,0.1826086956521739,0.5173913043478258,83.26800000000001,14.5,13.5,4.2,4.508333333333334,1.8029299455397636,50.0,1.0
2,Unknown,,None,,,Clear or Partly Cloudy,,,2016-07-21,3.0,Unknown,Unknown,16.0,47.59587497382828,Daylight,-122.30895915090765,7.0,,,,,,Straight & Grade,Wet,,,16:15:00,"Legally Parked, Unoccupied",60.04230769230769,0.2478260869565217,0.2565217391304348,0.09130434782608671,59.91200000000001,45.93076923076923,0.33043478260869574,0.45217391304347826,-0.5652173913043478,45.68,0.0,0.0,29.970384615384617,0.002173913043478601,29.970800000000004,83.20384615384614,0.26521739130434785,0.1826086956521739,0.5173913043478258,83.26800000000001,14.5,13.5,4.2,4.508333333333334,1.8029299455397636,50.0,1.0
3,Not Deployed,,Follow Too Closely,,,Clear or Partly Cloudy,,,2016-07-24,6.0,No Injury,Shoulder Belt Used,13.0,47.599209702094434,Daylight,-122.31721500213379,7.0,,,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,13:36:00,Going Straight Ahead,57.74444444444443,0.24,0.16000000000000006,0.4049999999999983,58.00384615384613,51.11851851851851,0.19,0.7849999999999999,-3.15,49.76923076923077,0.0,0.0,30.074615384615388,-0.014736842105264153,30.0684,77.07500000000002,0.51,0.06999999999999999,2.3399999999999985,78.38846153846154,17.4,12.3,3.62,3.135714285714286,1.6974215956052108,50.0,2.0
4,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-07-24,6.0,No Injury,Lap & Shoulder Used,13.0,47.599209702094434,Daylight,-122.31721500213379,7.0,Possible Injury,Lap & Shoulder Used,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,13:36:00,Stopped at Signal or Stop Sign,57.74444444444443,0.24,0.16000000000000006,0.4049999999999983,58.00384615384613,51.11851851851851,0.19,0.7849999999999999,-3.15,49.76923076923077,0.0,0.0,30.074615384615388,-0.014736842105264153,30.0684,77.07500000000002,0.51,0.06999999999999999,2.3399999999999985,78.38846153846154,17.4,12.3,3.62,3.135714285714286,1.6974215956052108,50.0,2.0
5,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-07-24,6.0,No Injury,Lap & Shoulder Used,13.0,47.599209702094434,Daylight,-122.31721500213379,7.0,No Injury,Lap & Shoulder Used,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,13:36:00,Stopped at Signal or Stop Sign,57.74444444444443,0.24,0.16000000000000006,0.4049999999999983,58.00384615384613,51.11851851851851,0.19,0.7849999999999999,-3.15,49.76923076923077,0.0,0.0,30.074615384615388,-0.014736842105264153,30.0684,77.07500000000002,0.51,0.06999999999999999,2.3399999999999985,78.38846153846154,17.4,12.3,3.62,3.135714285714286,1.6974215956052108,50.0,2.0
6,Unknown,,Other,,,Clear or Partly Cloudy,,,2016-07-03,6.0,Unknown,Unknown,1.0,47.59942235816114,Dark-Street Lights On,-122.31688627836307,7.0,,,,,,,,Blacktop,Unknown,01:39:00,Backing,52.05925925925926,0.0380952380952381,0.19523809523809527,-1.0142857142857142,51.55384615384615,73.79642857142856,0.18571428571428572,0.2619047619047619,-0.8095238095238095,73.0,0.0,0.0,29.963333333333324,0.010476190476190592,29.96884615384615,60.49655172413794,0.004761904761904762,0.14761904761904768,-0.8142857142857137,60.369230769230754,12.3,9.8,2.6500000000000004,3.207692307692308,1.7195002462897813,51.0,3.0
7,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-07-03,6.0,No Injury,Unknown,1.0,47.59942235816114,Dark-Street Lights On,-122.31688627836307,7.0,,,,,,,,,,01:39:00,"Legally Parked, Occupied",52.05925925925926,0.0380952380952381,0.19523809523809527,-1.0142857142857142,51.55384615384615,73.79642857142856,0.18571428571428572,0.2619047619047619,-0.8095238095238095,73.0,0.0,0.0,29.963333333333324,0.010476190476190592,29.96884615384615,60.49655172413794,0.004761904761904762,0.14761904761904768,-0.8142857142857137,60.369230769230754,12.3,9.8,2.6500000000000004,3.207692307692308,1.7195002462897813,51.0,3.0
8,Unknown,,Other,,,Unknown,,,2016-07-25,0.0,Unknown,Unknown,16.0,47.59665304109501,Daylight,-122.31119784300344,7.0,,,,,,,,Blacktop,Unknown,16:30:00,Other,62.07307692307692,0.27826086956521734,0.20434782608695656,0.5086956521739134,62.16923076923077,45.22962962962962,0.31739130434782614,0.5260869565217391,-0.43478260869565216,44.92307692307692,0.0,0.0,30.001153846153844,-0.009565217391303527,29.997692307692304,85.47500000000001,0.3565217391304348,0.13913043478260867,0.7826086956521745,86.15384615384616,12.5,11.4,4.25,3.733333333333333,1.7740950501014834,50.0,4.0
9,Not Deployed,,None,,,Unknown,,,2016-07-25,0.0,No Injury,No Restraints Used,16.0,47.59665304109501,Daylight,-122.31119784300344,7.0,,,,,,,,,,16:30:00,"Legally Parked, Unoccupied",62.07307692307692,0.27826086956521734,0.20434782608695656,0.5086956521739134,62.16923076923077,45.22962962962962,0.31739130434782614,0.5260869565217391,-0.43478260869565216,44.92307692307692,0.0,0.0,30.001153846153844,-0.009565217391303527,29.997692307692304,85.47500000000001,0.3565217391304348,0.13913043478260867,0.7826086956521745,86.15384615384616,12.5,11.4,4.25,3.733333333333333,1.7740950501014834,50.0,4.0
