,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
2620,,,,,,Overcast,,,2016-10-27,3.0,,,12.0,47.46446577625642,Daylight,-122.30050222347259,10.0,,,,,,,Dry,Blacktop,,12:30:00,"Legally Parked, Unoccupied",50.785714285714285,0.13333333333333333,0.13333333333333336,-0.10000000000000221,50.78461538461537,85.62142857142858,0.15555555555555556,0.6555555555555556,-3.5555555555555554,84.07692307692308,0.0,0.0,29.81,-0.011111111111111663,29.79769230769231,54.98571428571429,0.18888888888888894,0.011111111111111112,1.066666666666666,55.52307692307693,5.0,4.0,1.0,1.4874999999999998,2.3505818970257586,23.0,1135.0
2621,Not Deployed,,Did Not Grant RW to Vehicle,,,Clear or Partly Cloudy,,,2016-10-29,5.0,No Injury,Lap & Shoulder Used,17.0,47.63034995605415,Daylight,-122.37326073228131,10.0,,,,,35.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,17:03:00,Making Left Turn,51.40526315789474,0.1344827586206897,0.1724137931034482,-0.3103448275862074,51.090625,80.89473684210526,0.4137931034482759,0.31724137931034474,1.5172413793103448,80.4375,0.0,0.0,29.92526315789474,0.005000000000000401,29.9240625,57.43421052631579,0.08620689655172416,0.19310344827586198,-0.9068965517241383,57.2625,7.4,4.9,0.6222222222222221,0.868,1.9226030407146246,60.0,1136.0
2622,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-10-29,5.0,No Injury,Lap & Shoulder Used,17.0,47.63034995605415,Daylight,-122.37326073228131,10.0,No Injury,Lap & Shoulder Used,,,35.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,17:03:00,Going Straight Ahead,51.40526315789474,0.1344827586206897,0.1724137931034482,-0.3103448275862074,51.090625,80.89473684210526,0.4137931034482759,0.31724137931034474,1.5172413793103448,80.4375,0.0,0.0,29.92526315789474,0.005000000000000401,29.9240625,57.43421052631579,0.08620689655172416,0.19310344827586198,-0.9068965517241383,57.2625,7.4,4.9,0.6222222222222221,0.868,1.9226030407146246,60.0,1136.0
2623,,,Inattention,Improper Backing,,Raining,,,2016-11-02,2.0,,,23.0,47.66112268139052,Dark-Street Lights On,-122.32807203567393,11.0,,,,,10.0,Straight & Grade,Wet,Blacktop,Unknown,23:21:00,Backing,50.93650793650792,0.04615384615384616,0.08717948717948722,-0.21282051282051292,50.77254901960784,90.08253968253968,0.31538461538461526,0.017948717948717947,2.4615384615384617,91.15686274509804,0.09642857142857889,0.14,30.145714285714313,0.04230769230769291,30.167450980392175,54.00158730158731,0.0,0.11282051282051284,-0.9051282051282049,53.48235294117646,22.0,14.0,3.5787234042553195,2.558536585365854,2.0210245297285754,92.0,1137.0
2624,,,,,,Raining,,,2016-11-02,2.0,,,23.0,47.66112268139052,Dark-Street Lights On,-122.32807203567393,11.0,,,,,10.0,Straight & Grade,Wet,Blacktop,,23:21:00,"Illegally Parked, Unoccupied",50.93650793650792,0.04615384615384616,0.08717948717948722,-0.21282051282051292,50.77254901960784,90.08253968253968,0.31538461538461526,0.017948717948717947,2.4615384615384617,91.15686274509804,0.09642857142857889,0.14,30.145714285714313,0.04230769230769291,30.167450980392175,54.00158730158731,0.0,0.11282051282051284,-0.9051282051282049,53.48235294117646,22.0,14.0,3.5787234042553195,2.558536585365854,2.0210245297285754,92.0,1137.0
2625,,,Other,,,Overcast,,,2016-10-30,6.0,,,3.0,47.59530479662422,Dark-Street Lights On,-122.33325083961417,10.0,,,,,,Straight & Level,Dry,Blacktop,,03:27:00,Going Straight Ahead,44.54827586206898,0.03846153846153846,0.12307692307692311,-0.5576923076923083,44.165517241379305,92.04333333333334,0.11923076923076924,0.10769230769230768,-0.11538461538461539,91.55172413793103,0.0,0.0,29.866206896551727,-0.009615384615383386,29.862413793103453,46.870967741935495,0.019230769230769232,0.10769230769230773,-0.5384615384615393,46.62758620689656,4.9,4.9,0.888,0.7391304347826086,1.9209166866815632,54.0,1138.0
2626,,,,,,Overcast,,,2016-10-30,6.0,,,3.0,47.59530479662422,Dark-Street Lights On,-122.33325083961417,10.0,,,No Injury,2060720.0,,Straight & Level,Dry,,,03:27:00,,44.54827586206898,0.03846153846153846,0.12307692307692311,-0.5576923076923083,44.165517241379305,92.04333333333334,0.11923076923076924,0.10769230769230768,-0.11538461538461539,91.55172413793103,0.0,0.0,29.866206896551727,-0.009615384615383386,29.862413793103453,46.870967741935495,0.019230769230769232,0.10769230769230773,-0.5384615384615393,46.62758620689656,4.9,4.9,0.888,0.7391304347826086,1.9209166866815632,54.0,1138.0
2627,Not Deployed,,Did Not Grant RW to Vehicle,,,Clear or Partly Cloudy,,,2016-11-03,3.0,No Injury,Lap & Shoulder Used,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,,,,,Dry,Blacktop,Had NOT Been Drinking,10:12:00,Going Straight Ahead,51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
2628,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-11-03,3.0,No Injury,Lap & Shoulder Used,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,,,,,Dry,Blacktop,Had NOT Been Drinking,10:12:00,Going Straight Ahead,51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
2629,,,,,,Clear or Partly Cloudy,,,2016-11-03,3.0,,,10.0,47.72243757596257,Daylight,-122.34495559781926,11.0,,,Possible Injury,2060723.0,,,Dry,,,10:12:00,,51.327777777777804,0.325,0.020833333333333332,2.228,51.96428571428572,93.23055555555555,0.10000000000000002,0.425,-3.36,91.64285714285714,0.010909090909090677,0.95,30.289117647058816,-0.0012499999999998994,30.284074074074073,53.394444444444446,0.4000000000000001,0.0,3.2160000000000006,54.43214285714286,12.5,12.5,1.8962962962962964,2.525,2.025195727722217,54.0,1139.0
