,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
47,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-02,0.0,No Injury,Lap Belt Used,9.0,47.751507438461935,Daylight,-122.34566084855881,5.0,,,,,45.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,09:10:00,Going Straight Ahead,47.257894736842104,0.45999999999999996,0.4466666666666667,-0.15999999999999895,47.176470588235304,52.031578947368416,0.18,1.94,-11.266666666666667,46.588235294117645,0.0,0.0,29.928947368421046,0.008666666666667074,29.922941176470584,66.77368421052631,1.0799999999999996,0.05333333333333334,6.546666666666667,70.12352941176471,8.0,6.0,0.91875,1.0666666666666667,2.0959254352268055,35.0,20.0
48,Not Deployed,,Did Not Grant RW to Vehicle,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Unknown,14.0,47.412044231181824,Daylight,-122.22821353707012,5.0,,,,,35.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,14:11:00,Merging (Entering Traffic),52.75,0.2,0.25,0.0,53.0,41.25,0.1,1.5,-4.0,39.5,0.0,,30.009999999999998,-0.025000000000000355,30.0,78.0,0.95,0.0,2.8999999999999986,79.55000000000001,,,7.1,6.8,1.9855511651468638,4.0,21.0
49,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,14.0,47.412044231181824,Daylight,-122.22821353707012,5.0,,,,,35.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,14:11:00,Going Straight Ahead,52.75,0.2,0.25,0.0,53.0,41.25,0.1,1.5,-4.0,39.5,0.0,,30.009999999999998,-0.025000000000000355,30.0,78.0,0.95,0.0,2.8999999999999986,79.55000000000001,,,7.1,6.8,1.9855511651468638,4.0,21.0
50,Unknown,,Other,,,Clear or Partly Cloudy,,,2016-05-02,0.0,Unknown,Unknown,7.0,47.408219954746116,Daylight,-122.23126537436642,5.0,,,,,,Straight & Level,Dry,Blacktop,Unknown,07:00:00,Other,48.25,1.1500000000000001,0.05,2.150000000000002,49.400000000000006,71.9,0.0,1.6,-3.5,69.5,0.0,,29.924999999999997,0.005000000000000782,29.935000000000002,57.45,1.7,0.0,3.5,59.55,,,0.0,0.0,2.040486791306887,4.0,22.0
51,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-02,0.0,No Injury,Lap & Shoulder Used,7.0,47.408219954746116,Daylight,-122.23126537436642,5.0,,,,,,Straight & Level,Dry,,,07:00:00,"Legally Parked, Unoccupied",48.25,1.1500000000000001,0.05,2.150000000000002,49.400000000000006,71.9,0.0,1.6,-3.5,69.5,0.0,,29.924999999999997,0.005000000000000782,29.935000000000002,57.45,1.7,0.0,3.5,59.55,,,0.0,0.0,2.040486791306887,4.0,22.0
52,Combination of Airbag Deployed,,Inattention,"Driver Interacting with Passengers, Animals or Objects Inside Vehicle",,Clear or Partly Cloudy,,,2016-05-01,6.0,No Injury,Lap & Shoulder Used,18.0,47.408649635518024,Daylight,-122.2046084985587,5.0,,,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,18:31:00,Going Straight Ahead,,,,,,,,,,,,,,,,,,,,,,,,,1.2022524951691373,2.0,23.0
53,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,18.0,47.408649635518024,Daylight,-122.2046084985587,5.0,,,,,,Straight & Level,Dry,,,18:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,1.2022524951691373,2.0,23.0
54,,,,,,Clear or Partly Cloudy,,,2016-05-01,6.0,,,18.0,47.408649635518024,Daylight,-122.2046084985587,5.0,,,,,,Straight & Level,Dry,,,18:31:00,,,,,,,,,,,,,,,,,,,,,,,,,,1.2022524951691373,2.0,23.0
55,Not Deployed,,Exceeding Reas. Safe Speed,,,Clear or Partly Cloudy,,,2016-05-02,0.0,No Injury,Lap & Shoulder Used,6.0,47.428206973210784,Daylight,-122.22803491102852,5.0,,,,,40.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,06:22:00,Going Straight Ahead,47.699999999999996,0.13333333333333333,0.06666666666666667,0.4000000000000033,48.0,70.36666666666667,0.5333333333333333,0.0,4.0,72.66666666666667,0.0,0.0,29.983333333333334,0.0,29.983333333333334,57.366666666666674,0.0,0.10000000000000002,-1.0,56.86666666666667,0.0,0.0,0.0,0.0,2.2718928110812935,6.0,24.0
56,Not Deployed,,None,,,Clear or Partly Cloudy,,,2016-05-02,0.0,Possible Injury,Lap & Shoulder Used,6.0,47.428206973210784,Daylight,-122.22803491102852,5.0,,,,,40.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,06:22:00,Slowing,47.699999999999996,0.13333333333333333,0.06666666666666667,0.4000000000000033,48.0,70.36666666666667,0.5333333333333333,0.0,4.0,72.66666666666667,0.0,0.0,29.983333333333334,0.0,29.983333333333334,57.366666666666674,0.0,0.10000000000000002,-1.0,56.86666666666667,0.0,0.0,0.0,0.0,2.2718928110812935,6.0,24.0
57,Not Deployed,,Other,,,Clear or Partly Cloudy,,,2016-05-02,0.0,No Injury,Lap & Shoulder Used,16.0,47.59473504741575,Daylight,-122.32896121940095,5.0,No Injury,Lap & Shoulder Used,,,30.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,16:15:00,Going Straight Ahead,45.73461538461538,0.5739130434782609,0.5304347826086956,0.4391304347826092,46.030769230769224,24.1962962962963,0.391304347826087,0.4478260869565217,-0.17391304347826086,24.25925925925926,0.0,0.0,29.818461538461534,-0.014347826086956448,29.813076923076917,86.92499999999998,0.21739130434782608,0.1565217391304348,0.20869565217391353,86.93571428571428,12.3,12.3,3.7,4.494117647058823,1.8697626086979686,52.0,25.0
58,Not Deployed,,Other,,,Clear or Partly Cloudy,,,2016-05-02,0.0,No Injury,Lap & Shoulder Used,16.0,47.59473504741575,Daylight,-122.32896121940095,5.0,No Injury,Lap & Shoulder Used,,,30.0,Straight & Level,Dry,Concrete,Had NOT Been Drinking,16:15:00,Going Straight Ahead,45.73461538461538,0.5739130434782609,0.5304347826086956,0.4391304347826092,46.030769230769224,24.1962962962963,0.391304347826087,0.4478260869565217,-0.17391304347826086,24.25925925925926,0.0,0.0,29.818461538461534,-0.014347826086956448,29.813076923076917,86.92499999999998,0.21739130434782608,0.1565217391304348,0.20869565217391353,86.93571428571428,12.3,12.3,3.7,4.494117647058823,1.8697626086979686,52.0,25.0
