,airbag,alcohol_test_given,contributing_factor_1,contributing_factor_2,contributing_factor_3,current_weather,cyclist_injury,cyclist_present,date,day_of_week,driver_injury,driver_restraint_type,hour,lat,lighting_conditions,lon,month,passenger_injury,passenger_restraint_type,pedestrian_injury,pedestrian_present,posted_speed_limit,roadway_characterization,roadway_surface_condition,roadway_surface_type,sobriety_type,time_of_day,vehicle_action,wx_DewpointF_last_1hr_avg,wx_DewpointF_last_1hr_avg_decrease,wx_DewpointF_last_1hr_avg_increase,wx_DewpointF_last_1hr_change,wx_DewpointF_latest,wx_Humidity_last_1hr_avg,wx_Humidity_last_1hr_avg_decrease,wx_Humidity_last_1hr_avg_increase,wx_Humidity_last_1hr_change,wx_Humidity_latest,wx_PrecipRate_inhr_last_1hr,wx_PrecipRate_inhr_latest_max,wx_PressureIn_last_1hr_avg,wx_PressureIn_last_1hr_change,wx_PressureIn_latest,wx_TemperatureF_last_1hr_avg,wx_TemperatureF_last_1hr_avg_decrease,wx_TemperatureF_last_1hr_avg_increase,wx_TemperatureF_last_1hr_change,wx_TemperatureF_latest,wx_WindSpeedGustMPH_last_1hr_max,wx_WindSpeedGustMPH_latest,wx_WindSpeedMPH_last_1hr_avg,wx_WindSpeedMPH_latest,wx_mean_station_dist_mi,wx_station_count,wx_unique_event_id
369,Not Deployed,,Driver Not Distracted,,,Raining,,,2016-11-24,3.0,No Injury,Lap & Shoulder Used,5.0,47.546379943374646,Dark-Street Lights On,-122.30062785823458,11.0,,,,,30.0,Straight & Level,Wet,Concrete,Had NOT Been Drinking,05:10:00,Going Straight Ahead,41.60000000000001,0.2,0.08888888888888889,1.0111111111111097,41.89999999999999,77.44285714285715,1.0222222222222221,0.2222222222222222,7.444444444444445,79.57142857142857,0.06545454545455182,0.07,29.88615384615385,-0.008888888888889094,29.88538461538462,48.707142857142856,0.022222222222222223,0.19999999999999998,-1.6222222222222191,48.25000000000001,13.0,6.3,2.5583333333333336,2.9916666666666667,1.7320922815074917,25.0,160.0
370,,,Unknown Driver Distraction,,,Raining,,,2016-11-27,6.0,,,3.0,47.54771641793091,Dark-Street Lights On,-122.32147720359244,11.0,No Injury,Unknown,,,25.0,Straight & Level,Wet,Concrete,Unknown,03:43:00,Other,41.59,0.041176470588235294,0.023529411764705882,0.05294117647058815,41.61,95.72380952380952,0.09411764705882353,0.05294117647058823,0.4117647058823529,95.85,0.012244897959185588,0.01,29.689999999999998,0.024117647058822703,29.702500000000004,42.82380952380953,0.011764705882352941,0.011764705882352941,-0.04117647058823546,42.825,5.0,3.1,0.7000000000000001,0.5055555555555555,2.135939481718181,32.0,161.0
371,,,,,,Raining,,,2016-11-27,6.0,,,3.0,47.54771641793091,Dark-Street Lights On,-122.32147720359244,11.0,,,,,,Straight & Level,Wet,,,03:43:00,,41.59,0.041176470588235294,0.023529411764705882,0.05294117647058815,41.61,95.72380952380952,0.09411764705882353,0.05294117647058823,0.4117647058823529,95.85,0.012244897959185588,0.01,29.689999999999998,0.024117647058822703,29.702500000000004,42.82380952380953,0.011764705882352941,0.011764705882352941,-0.04117647058823546,42.825,5.0,3.1,0.7000000000000001,0.5055555555555555,2.135939481718181,32.0,161.0
372,Not Deployed,,Driver Not Distracted,,,Clear or Partly Cloudy,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,8.0,47.548931895817354,Daylight,-122.2780710845314,11.0,,,,,,Straight & Level,Wet,Concrete,Had NOT Been Drinking,08:36:00,Going Straight Ahead,41.528571428571425,0.13571428571428573,0.014285714285714287,0.664285714285714,41.89285714285715,93.67333333333333,0.03571428571428571,0.1571428571428571,-0.9285714285714286,93.28571428571429,0.0,0.0,29.806428571428576,0.027142857142856563,29.820714285714292,43.24666666666667,0.15714285714285717,0.0,0.9428571428571425,43.76428571428571,10.0,6.0,1.8076923076923077,1.7833333333333334,1.6177118706442273,25.0,162.0
373,Not Deployed,,,Driver Not Distracted,,Clear or Partly Cloudy,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,8.0,47.548931895817354,Daylight,-122.2780710845314,11.0,No Injury,Lap & Shoulder Used,,,,Straight & Level,Wet,Concrete,Had NOT Been Drinking,08:36:00,Going Straight Ahead,41.528571428571425,0.13571428571428573,0.014285714285714287,0.664285714285714,41.89285714285715,93.67333333333333,0.03571428571428571,0.1571428571428571,-0.9285714285714286,93.28571428571429,0.0,0.0,29.806428571428576,0.027142857142856563,29.820714285714292,43.24666666666667,0.15714285714285717,0.0,0.9428571428571425,43.76428571428571,10.0,6.0,1.8076923076923077,1.7833333333333334,1.6177118706442273,25.0,162.0
374,,,Unknown Driver Distraction,,,Clear or Partly Cloudy,,,2016-11-28,0.0,,,0.0,47.57699195357864,Dark-Street Lights On,-122.31009593492323,11.0,,,,,30.0,,Wet,Blacktop,Unknown,00:49:00,Making U-Turn,41.74090909090909,0.023529411764705882,0.10588235294117651,-0.5705882352941183,41.37727272727272,93.70434782608694,0.12352941176470589,0.08823529411764708,0.11764705882352941,93.5,0.0,0.0,29.598181818181818,0.026470588235293867,29.60727272727273,43.574999999999996,0.0058823529411764705,0.11176470588235299,-0.6882352941176473,43.22272727272727,6.8,5.0,1.3714285714285714,1.3736842105263156,1.9165119003704394,38.0,163.0
375,,,,,,Clear or Partly Cloudy,,,2016-11-28,0.0,,,0.0,47.57699195357864,Dark-Street Lights On,-122.31009593492323,11.0,,,,,30.0,,Wet,Blacktop,,00:49:00,"Legally Parked, Unoccupied",41.74090909090909,0.023529411764705882,0.10588235294117651,-0.5705882352941183,41.37727272727272,93.70434782608694,0.12352941176470589,0.08823529411764708,0.11764705882352941,93.5,0.0,0.0,29.598181818181818,0.026470588235293867,29.60727272727273,43.574999999999996,0.0058823529411764705,0.11176470588235299,-0.6882352941176473,43.22272727272727,6.8,5.0,1.3714285714285714,1.3736842105263156,1.9165119003704394,38.0,163.0
376,Side Airbag Deployed,,Did Not Grant RW to Vehicle,,,Raining,,,2016-11-26,5.0,No Injury,Lap & Shoulder Used,16.0,47.67419984452937,Dark-Street Lights On,-122.36075542622005,11.0,No Injury,Lap & Shoulder Used,,,20.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,16:06:00,Going Straight Ahead,46.92968749999999,0.06000000000000002,0.13250000000000003,-0.5675000000000001,46.06136363636363,88.18906250000002,0.41749999999999987,0.04,3.425,91.04545454545455,0.06792452830189741,0.07,29.431718750000027,0.009500000000000331,29.435000000000013,50.6276923076923,0.0,0.17250000000000001,-1.629999999999999,48.68222222222223,11.8,10.0,1.373469387755102,1.8744186046511626,1.765905424048929,88.0,164.0
377,Front Airbag Deployed,,None,,,Raining,,,2016-11-26,5.0,Possible Injury,Lap & Shoulder Used,16.0,47.67419984452937,Dark-Street Lights On,-122.36075542622005,11.0,,,,,30.0,Straight & Level,Wet,Blacktop,Had NOT Been Drinking,16:06:00,Going Straight Ahead,46.92968749999999,0.06000000000000002,0.13250000000000003,-0.5675000000000001,46.06136363636363,88.18906250000002,0.41749999999999987,0.04,3.425,91.04545454545455,0.06792452830189741,0.07,29.431718750000027,0.009500000000000331,29.435000000000013,50.6276923076923,0.0,0.17250000000000001,-1.629999999999999,48.68222222222223,11.8,10.0,1.373469387755102,1.8744186046511626,1.765905424048929,88.0,164.0
378,Unknown,,Fail to Yield Row to Pedestrian,,,Raining,,,2016-11-27,6.0,No Injury,Unknown,15.0,47.668674681190645,Daylight,-122.37600685614944,11.0,,,,,30.0,Straight & Level,Dry,Concrete,Unknown,15:15:00,Making Right Turn,43.414814814814825,0.09000000000000005,0.07750000000000004,0.2549999999999997,43.26744186046512,91.1148148148148,0.385,0.09000000000000002,2.7,91.86046511627907,0.06666666666666919,0.14,29.682777777777797,-0.04589743589743533,29.655813953488373,45.99636363636363,0.0,0.07000000000000003,-0.5475000000000005,45.638636363636365,23.0,22.0,4.3130434782608695,5.064285714285713,1.6946998541237146,78.0,165.0
379,,,,,,Raining,,,2016-11-27,6.0,,,15.0,47.668674681190645,Daylight,-122.37600685614944,11.0,,,,2069690.0,,Straight & Level,Dry,,,15:15:00,,43.414814814814825,0.09000000000000005,0.07750000000000004,0.2549999999999997,43.26744186046512,91.1148148148148,0.385,0.09000000000000002,2.7,91.86046511627907,0.06666666666666919,0.14,29.682777777777797,-0.04589743589743533,29.655813953488373,45.99636363636363,0.0,0.07000000000000003,-0.5475000000000005,45.638636363636365,23.0,22.0,4.3130434782608695,5.064285714285713,1.6946998541237146,78.0,165.0
380,Front Airbag Deployed,,Other,,,Overcast,,,2016-11-28,0.0,No Injury,Lap & Shoulder Used,10.0,47.6650524403409,Daylight,-122.35146663579228,11.0,,,,,30.0,Straight & Level,Dry,Blacktop,Had NOT Been Drinking,10:15:00,Going Straight Ahead,42.08656716417911,0.15681818181818177,0.011363636363636364,1.215909090909091,42.65303030303029,88.36567164179104,0.08636363636363638,0.1318181818181818,-0.4090909090909091,87.95454545454545,0.0,0.0,29.87782608695654,0.02044444444444409,29.88656716417912,45.735294117647065,0.15454545454545449,0.0,1.3409090909090908,46.422388059701504,11.0,10.0,1.3980769230769226,1.523529411764706,1.8608226616966526,94.0,166.0
381,,,,,,Overcast,,,2016-11-28,0.0,,,10.0,47.6650524403409,Daylight,-122.35146663579228,11.0,,,,,,Straight & Level,Dry,,,10:15:00,,42.08656716417911,0.15681818181818177,0.011363636363636364,1.215909090909091,42.65303030303029,88.36567164179104,0.08636363636363638,0.1318181818181818,-0.4090909090909091,87.95454545454545,0.0,0.0,29.87782608695654,0.02044444444444409,29.88656716417912,45.735294117647065,0.15454545454545449,0.0,1.3409090909090908,46.422388059701504,11.0,10.0,1.3980769230769226,1.523529411764706,1.8608226616966526,94.0,166.0
382,Not Deployed,,Did Not Grant RW to Vehicle,,,Raining,,,2016-11-05,5.0,No Injury,Lap & Shoulder Used,12.0,47.708638747916496,Daylight,-122.33011621289027,11.0,,,,,30.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,12:20:00,Making Left Turn,54.28333333333331,0.01875,0.0375,-0.10303030303030299,54.18958333333333,93.92291666666667,0.05000000000000001,0.12187500000000004,-0.7272727272727273,93.64583333333333,0.1320000000000036,0.23,29.888297872340427,-0.0006250000000000977,29.884042553191488,56.09166666666667,0.015625,0.0125,0.11212121212121286,56.07500000000001,27.3,19.3,3.0486486486486486,3.5,1.9771005128262678,69.0,167.0
383,Not Deployed,,None,,,Raining,,,2016-11-05,5.0,No Injury,Lap & Shoulder Used,12.0,47.708638747916496,Daylight,-122.33011621289027,11.0,,,,,30.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,12:20:00,Going Straight Ahead,54.28333333333331,0.01875,0.0375,-0.10303030303030299,54.18958333333333,93.92291666666667,0.05000000000000001,0.12187500000000004,-0.7272727272727273,93.64583333333333,0.1320000000000036,0.23,29.888297872340427,-0.0006250000000000977,29.884042553191488,56.09166666666667,0.015625,0.0125,0.11212121212121286,56.07500000000001,27.3,19.3,3.0486486486486486,3.5,1.9771005128262678,69.0,167.0
384,,,None,,,Raining,,,2016-11-05,5.0,,,12.0,47.708638747916496,Daylight,-122.33011621289027,11.0,,,,,30.0,Straight & Grade,Wet,Blacktop,Had NOT Been Drinking,12:20:00,Stopped for Traffic,54.28333333333331,0.01875,0.0375,-0.10303030303030299,54.18958333333333,93.92291666666667,0.05000000000000001,0.12187500000000004,-0.7272727272727273,93.64583333333333,0.1320000000000036,0.23,29.888297872340427,-0.0006250000000000977,29.884042553191488,56.09166666666667,0.015625,0.0125,0.11212121212121286,56.07500000000001,27.3,19.3,3.0486486486486486,3.5,1.9771005128262678,69.0,167.0
385,Not Deployed,,None,Other,,Raining,,,2016-11-27,6.0,No Injury,Lap & Shoulder Used,11.0,47.668521008955224,Daylight,-122.29566178140209,11.0,,,,,30.0,Straight & Grade,Wet,Blacktop,,11:57:00,Stopped in Roadway,43.09148936170214,0.11333333333333338,0.0,0.9400000000000001,43.38837209302326,90.8936170212766,0.11000000000000003,0.03333333333333333,0.7666666666666667,90.86046511627907,0.0,0.0,29.766170212765946,-0.018666666666666387,29.757906976744177,46.0595744680851,0.0966666666666667,0.0,0.7600000000000006,46.41162790697675,18.0,15.0,3.0941176470588236,3.055882352941177,1.8472289833045272,62.0,168.0
386,,,None,,,Raining,,,2016-11-27,6.0,,,11.0,47.668521008955224,Daylight,-122.29566178140209,11.0,,,,,30.0,Straight & Grade,Wet,Blacktop,,11:57:00,Going Straight Ahead,43.09148936170214,0.11333333333333338,0.0,0.9400000000000001,43.38837209302326,90.8936170212766,0.11000000000000003,0.03333333333333333,0.7666666666666667,90.86046511627907,0.0,0.0,29.766170212765946,-0.018666666666666387,29.757906976744177,46.0595744680851,0.0966666666666667,0.0,0.7600000000000006,46.41162790697675,18.0,15.0,3.0941176470588236,3.055882352941177,1.8472289833045272,62.0,168.0
387,,,Inattention,,,Raining,,,2016-11-27,6.0,,,11.0,47.661307482587645,Daylight,-122.31771922145641,11.0,No Injury,Lap & Shoulder Used,,,30.0,Straight & Level,Wet,Blacktop,,11:34:00,Making Left Turn,42.49152542372882,0.17999999999999994,0.004,1.2900000000000005,43.0603448275862,90.67457627118642,0.24999999999999997,0.057999999999999996,1.48,91.13793103448276,0.009999999999999787,0.01,29.77135593220337,-0.016799999999999857,29.764482758620677,45.447457627118645,0.12999999999999998,0.0,0.8860000000000003,45.89482758620691,22.4,16.0,3.580000000000001,3.7068181818181825,2.01872103767486,84.0,169.0
