Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-11 00:02:00,41.8,38.5,30.15,South,184,3.0,3.0,88,0.00,,,0.34,Wunderground v.1.15,2017-04-11 07:02:00,
2017-04-11 00:08:00,41.6,38.6,30.15,East,87,2.0,3.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:08:00,
2017-04-11 00:14:00,41.6,38.6,30.15,SSW,205,3.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:14:00,
2017-04-11 00:20:00,41.6,38.6,30.15,South,182,3.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:20:00,
2017-04-11 00:26:00,41.5,38.5,30.15,WSW,239,3.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:26:00,
2017-04-11 00:32:00,41.5,38.5,30.15,SE,124,3.0,3.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:32:00,
2017-04-11 00:38:00,41.4,38.4,30.16,SW,223,3.0,5.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:38:00,
2017-04-11 00:44:00,41.3,38.6,30.16,SSE,163,3.0,5.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:44:00,
2017-04-11 00:50:00,41.1,38.4,30.16,WSW,241,2.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:50:00,
2017-04-11 00:56:00,41.1,38.4,30.16,South,188,2.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 07:56:00,
2017-04-11 01:02:00,40.9,38.2,30.16,South,173,1.0,3.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:02:00,
2017-04-11 01:07:00,40.7,38.3,30.16,South,184,1.0,5.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:07:00,
2017-04-11 01:13:00,40.7,38.3,30.16,South,190,2.0,5.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:13:00,
2017-04-11 01:19:00,40.7,38.0,30.16,SW,221,2.0,5.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:19:00,
2017-04-11 01:25:00,40.6,37.9,30.16,SSW,205,2.0,3.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:25:00,
2017-04-11 01:30:00,40.6,37.9,30.16,SSW,195,2.0,2.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:30:00,
2017-04-11 01:36:00,40.6,37.9,30.15,SSW,203,2.0,5.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:36:00,
2017-04-11 01:42:00,40.5,37.8,30.16,South,186,1.0,2.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:42:00,
2017-04-11 01:48:00,40.4,38.0,30.16,SSE,148,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:48:00,
2017-04-11 01:54:00,40.1,37.7,30.16,South,178,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 08:54:00,
2017-04-11 02:00:00,40.2,37.8,30.16,South,191,1.0,1.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:00:00,
2017-04-11 02:06:00,40.1,37.7,30.16,SSW,203,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:06:00,
2017-04-11 02:11:00,40.0,37.6,30.16,SW,220,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:11:00,
2017-04-11 02:17:00,39.9,37.5,30.16,SE,136,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:17:00,
2017-04-11 02:23:00,39.7,37.3,30.16,ESE,118,0.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:23:00,
2017-04-11 02:29:00,39.5,37.1,30.16,ESE,113,0.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:29:00,
2017-04-11 02:34:00,39.1,36.7,30.16,ESE,113,0.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:34:00,
2017-04-11 02:40:00,38.7,36.6,30.16,ESE,113,0.0,2.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:40:00,
2017-04-11 02:46:00,38.5,36.7,30.16,ESE,113,0.0,2.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:46:00,
2017-04-11 02:52:00,38.1,36.3,30.16,ESE,112,0.0,2.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:52:00,
2017-04-11 02:58:00,37.6,35.8,30.16,ESE,112,0.0,2.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-11 09:58:00,
2017-04-11 03:04:00,37.2,35.4,30.15,ESE,112,0.0,2.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:04:00,
2017-04-11 03:10:00,37.1,35.5,30.16,ESE,112,0.0,2.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:10:00,
2017-04-11 03:15:00,37.1,35.5,30.15,ESE,112,0.0,2.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:15:00,
2017-04-11 03:21:00,36.8,35.2,30.15,ESE,112,0.0,2.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:21:00,
2017-04-11 03:27:00,36.5,34.9,30.15,ESE,112,0.0,2.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:27:00,
2017-04-11 03:33:00,36.5,35.2,30.15,ESE,112,0.0,2.0,95,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:33:00,
2017-04-11 03:38:00,36.6,35.3,30.15,ESE,112,0.0,2.0,95,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:38:00,
2017-04-11 03:44:00,36.4,35.1,30.15,ESE,112,0.0,2.0,95,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:44:00,
2017-04-11 03:50:00,36.4,35.1,30.14,ESE,112,0.0,2.0,95,0.00,,,0.00,Wunderground v.1.15,2017-04-11 10:50:00,
