Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-13 00:02:00,45.5,44.2,29.68,SSW,204,2.0,3.0,95,0.00,,,0.89,Wunderground v.1.15,2017-04-13 07:02:00,
2017-04-13 00:08:00,45.5,44.2,29.67,SSW,209,2.0,3.0,95,0.00,,,0.01,Wunderground v.1.15,2017-04-13 07:08:00,
2017-04-13 00:14:00,45.5,44.2,29.68,SSW,198,2.0,3.0,95,0.00,,,0.01,Wunderground v.1.15,2017-04-13 07:14:00,
2017-04-13 00:20:00,45.5,44.2,29.68,South,170,2.0,2.0,95,0.00,,,0.01,Wunderground v.1.15,2017-04-13 07:20:00,
2017-04-13 00:26:00,45.4,43.8,29.68,SE,129,2.0,6.0,94,0.00,,,0.01,Wunderground v.1.15,2017-04-13 07:26:00,
2017-04-13 00:31:00,45.3,43.7,29.68,South,169,2.0,2.0,94,0.00,,,0.01,Wunderground v.1.15,2017-04-13 07:31:00,
2017-04-13 00:37:00,45.3,43.7,29.68,SE,124,2.0,2.0,94,0.00,,,0.02,Wunderground v.1.15,2017-04-13 07:37:00,
2017-04-13 00:43:00,45.3,44.0,29.68,South,169,2.0,3.0,95,0.00,,,0.02,Wunderground v.1.15,2017-04-13 07:43:00,
2017-04-13 00:49:00,45.2,43.9,29.68,SSW,195,2.0,3.0,95,0.00,,,0.02,Wunderground v.1.15,2017-04-13 07:49:00,
2017-04-13 00:54:00,45.1,43.8,29.68,SW,219,2.0,4.0,95,0.00,,,0.02,Wunderground v.1.15,2017-04-13 07:54:00,
2017-04-13 01:00:00,45.1,43.5,29.69,SSW,197,2.0,2.0,94,0.00,,,0.02,Wunderground v.1.15,2017-04-13 08:00:00,
2017-04-13 01:06:00,44.9,43.3,29.69,SSW,203,2.0,6.0,94,0.00,,,0.02,Wunderground v.1.15,2017-04-13 08:06:00,
2017-04-13 01:12:00,44.7,43.1,29.69,SSW,195,2.0,4.0,94,0.00,,,0.02,Wunderground v.1.15,2017-04-13 08:12:00,
2017-04-13 01:18:00,44.5,42.6,29.69,SSW,196,2.0,4.0,93,0.00,,,0.02,Wunderground v.1.15,2017-04-13 08:18:00,
2017-04-13 01:24:00,44.4,42.5,29.69,ESE,115,2.0,4.0,93,0.00,,,0.02,Wunderground v.1.15,2017-04-13 08:24:00,
2017-04-13 01:30:00,44.3,42.4,29.69,SSW,200,2.0,4.0,93,0.00,,,0.03,Wunderground v.1.15,2017-04-13 08:30:00,
2017-04-13 01:35:00,44.1,42.2,29.69,SSW,199,2.0,4.0,93,0.00,,,0.03,Wunderground v.1.15,2017-04-13 08:35:00,
2017-04-13 01:41:00,44.0,42.1,29.70,SSE,157,3.0,4.0,93,0.05,,,0.04,Wunderground v.1.15,2017-04-13 08:41:00,
2017-04-13 01:47:00,43.9,42.0,29.70,SSE,166,3.0,4.0,93,0.05,,,0.04,Wunderground v.1.15,2017-04-13 08:47:00,
2017-04-13 01:58:00,43.6,41.7,29.70,SW,217,3.0,5.0,93,0.04,,,0.05,Wunderground v.1.15,2017-04-13 08:58:00,
2017-04-13 02:10:00,43.4,41.5,29.70,SSW,210,3.0,3.0,93,0.04,,,0.05,Wunderground v.1.15,2017-04-13 09:10:00,
2017-04-13 02:16:00,43.3,41.4,29.70,South,174,2.0,4.0,93,0.00,,,0.05,Wunderground v.1.15,2017-04-13 09:16:00,
2017-04-13 02:22:00,43.2,41.3,29.70,SSE,149,2.0,4.0,93,0.00,,,0.05,Wunderground v.1.15,2017-04-13 09:22:00,
2017-04-13 02:28:00,43.2,41.0,29.70,SSW,199,3.0,4.0,92,0.00,,,0.05,Wunderground v.1.15,2017-04-13 09:28:00,
2017-04-13 02:34:00,43.2,41.0,29.70,SSW,196,3.0,4.0,92,0.00,,,0.05,Wunderground v.1.15,2017-04-13 09:34:00,
2017-04-13 02:39:00,43.2,41.0,29.70,South,179,2.0,4.0,92,0.00,,,0.06,Wunderground v.1.15,2017-04-13 09:39:00,
2017-04-13 02:44:00,43.1,41.2,29.70,East,98,1.0,4.0,93,0.00,,,0.06,Wunderground v.1.15,2017-04-13 09:44:00,
2017-04-13 02:50:00,43.1,41.2,29.70,ESE,121,1.0,4.0,93,0.00,,,0.06,Wunderground v.1.15,2017-04-13 09:50:00,
2017-04-13 02:56:00,43.0,41.4,29.69,SW,219,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 09:56:00,
2017-04-13 03:02:00,43.0,41.4,29.70,SSE,148,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:02:00,
2017-04-13 03:07:00,42.9,41.3,29.70,SSW,196,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:07:00,
2017-04-13 03:13:00,42.9,41.3,29.70,SSE,167,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:13:00,
2017-04-13 03:19:00,42.9,41.3,29.69,SSW,207,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:19:00,
2017-04-13 03:24:00,42.8,41.2,29.70,SW,225,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:24:00,
2017-04-13 03:30:00,42.8,41.2,29.70,SW,215,1.0,1.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:30:00,
2017-04-13 03:35:00,42.8,41.2,29.70,SSW,201,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:35:00,
2017-04-13 03:41:00,42.8,41.2,29.71,South,176,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:41:00,
2017-04-13 03:47:00,42.8,41.2,29.71,SSE,148,1.0,4.0,94,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:47:00,
2017-04-13 03:52:00,42.9,41.6,29.72,ESE,123,1.0,4.0,95,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:52:00,
2017-04-13 03:58:00,42.9,41.6,29.72,SW,222,1.0,4.0,95,0.00,,,0.06,Wunderground v.1.15,2017-04-13 10:58:00,
2017-04-13 04:04:00,42.9,41.6,29.71,SW,218,1.0,4.0,95,0.00,,,0.06,Wunderground v.1.15,2017-04-13 11:04:00,
