Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-15 00:02:00,42.8,38.9,30.22,SE,136,2.0,5.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:02:00,
2017-04-15 00:07:00,42.7,38.8,30.22,SSE,160,2.0,5.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:07:00,
2017-04-15 00:12:00,42.6,38.7,30.22,SSW,192,2.0,3.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:12:00,
2017-04-15 00:18:00,42.5,38.6,30.22,SSW,210,2.0,3.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:18:00,
2017-04-15 00:24:00,42.3,38.7,30.23,SSW,213,1.0,2.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:24:00,
2017-04-15 00:30:00,42.2,38.6,30.23,South,169,1.0,1.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:30:00,
2017-04-15 00:36:00,42.1,38.8,30.23,ESE,113,1.0,4.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:36:00,
2017-04-15 00:41:00,42.0,38.7,30.23,SW,221,1.0,1.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:41:00,
2017-04-15 00:47:00,41.9,38.6,30.23,South,182,1.0,2.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:47:00,
2017-04-15 00:53:00,41.7,38.4,30.23,SSE,165,1.0,2.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:53:00,
2017-04-15 00:59:00,41.6,38.6,30.23,East,99,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 07:59:00,
2017-04-15 01:04:00,41.5,38.5,30.23,South,187,2.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:04:00,
2017-04-15 01:10:00,41.5,38.5,30.24,SSW,201,2.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:10:00,
2017-04-15 01:15:00,41.5,38.5,30.24,South,190,2.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:15:00,
2017-04-15 01:21:00,41.3,38.3,30.24,ENE,77,2.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:21:00,
2017-04-15 01:27:00,41.3,38.3,30.24,South,175,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:27:00,
2017-04-15 01:33:00,41.2,38.2,30.24,SW,220,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:33:00,
2017-04-15 01:39:00,41.2,38.2,30.24,SSW,196,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:39:00,
2017-04-15 01:45:00,41.2,38.2,30.24,NE,51,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:45:00,
2017-04-15 01:51:00,41.2,38.2,30.25,East,96,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:51:00,
2017-04-15 01:57:00,41.1,38.1,30.25,ENE,62,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 08:57:00,
2017-04-15 02:03:00,41.0,38.0,30.24,NE,46,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:03:00,
2017-04-15 02:09:00,40.8,37.8,30.24,SSW,211,1.0,4.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:09:00,
2017-04-15 02:15:00,40.6,37.9,30.25,SW,221,1.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:15:00,
2017-04-15 02:21:00,40.6,37.9,30.25,SSW,205,1.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:21:00,
2017-04-15 02:27:00,40.5,37.8,30.24,SW,222,0.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:27:00,
2017-04-15 02:32:00,40.4,37.7,30.24,SW,225,0.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:32:00,
2017-04-15 02:38:00,40.3,37.6,30.24,SE,139,1.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:38:00,
2017-04-15 02:44:00,40.3,37.6,30.24,SSE,166,1.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:44:00,
2017-04-15 02:50:00,40.3,37.9,30.24,South,178,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:50:00,
2017-04-15 02:55:00,40.3,37.9,30.24,SSE,165,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 09:55:00,
2017-04-15 03:01:00,40.3,37.9,30.25,SSW,208,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:01:00,
2017-04-15 03:07:00,40.3,37.9,30.24,South,170,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:07:00,
2017-04-15 03:13:00,40.3,37.9,30.25,SSE,157,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:13:00,
2017-04-15 03:19:00,40.3,37.9,30.25,SW,236,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:19:00,
2017-04-15 03:24:00,40.2,37.8,30.25,SSE,151,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:24:00,
2017-04-15 03:30:00,40.2,37.8,30.25,South,175,1.0,1.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:30:00,
2017-04-15 03:36:00,40.1,37.7,30.25,South,179,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:36:00,
2017-04-15 03:42:00,40.3,37.9,30.25,South,181,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:42:00,
2017-04-15 03:47:00,40.3,37.9,30.25,SSE,153,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:47:00,
2017-04-15 03:53:00,40.3,37.9,30.25,SSW,207,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:53:00,
2017-04-15 03:59:00,40.2,37.8,30.25,South,183,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 10:59:00,
2017-04-15 04:05:00,40.1,37.7,30.25,SSW,205,1.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-15 11:05:00,
