Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-10 00:00:00,48.0,36.4,29.90,SSW,194,0.0,5.0,64,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:00:00,
2017-04-10 00:06:00,47.9,36.3,29.90,South,181,0.0,5.0,64,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:06:00,
2017-04-10 00:11:00,47.8,36.6,29.90,SW,217,0.0,0.0,65,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:11:00,
2017-04-10 00:17:00,47.6,36.4,29.90,SW,217,0.0,0.0,65,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:17:00,
2017-04-10 00:22:00,47.4,36.6,29.90,SW,216,0.0,0.0,66,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:22:00,
2017-04-10 00:28:00,47.3,36.5,29.90,SW,216,0.0,0.0,66,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:28:00,
2017-04-10 00:34:00,47.2,36.8,29.90,SSW,198,0.0,0.0,67,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:34:00,
2017-04-10 00:40:00,47.2,37.2,29.90,SSW,194,0.0,0.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:40:00,
2017-04-10 00:45:00,47.0,37.4,29.90,SSW,193,0.0,0.0,69,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:45:00,
2017-04-10 00:51:00,46.8,37.2,29.90,SE,141,0.0,3.0,69,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:51:00,
2017-04-10 00:57:00,47.1,37.1,29.90,ESE,105,1.0,3.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 07:57:00,
2017-04-10 01:03:00,47.4,37.4,29.90,South,176,0.0,2.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:03:00,
2017-04-10 01:08:00,47.5,37.5,29.90,SSE,159,0.0,2.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:08:00,
2017-04-10 01:14:00,47.7,37.3,29.90,SSW,203,1.0,3.0,67,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:14:00,
2017-04-10 01:20:00,47.8,37.7,29.90,South,177,2.0,2.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:20:00,
2017-04-10 01:26:00,47.8,37.7,29.91,SSE,164,2.0,6.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:26:00,
2017-04-10 01:31:00,47.8,37.4,29.91,SSW,195,2.0,5.0,67,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:31:00,
2017-04-10 01:37:00,47.8,37.7,29.92,ESE,123,3.0,5.0,68,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:37:00,
2017-04-10 01:43:00,47.7,38.4,29.93,South,181,3.0,7.0,70,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:43:00,
2017-04-10 01:49:00,46.6,40.4,29.93,SSW,210,3.0,8.0,79,0.00,,,0.00,Wunderground v.1.15,2017-04-10 08:49:00,
2017-04-10 01:54:00,45.3,40.7,29.93,SSE,167,3.0,4.0,84,0.00,,,0.01,Wunderground v.1.15,2017-04-10 08:54:00,
2017-04-10 02:00:00,44.4,40.8,29.94,SW,231,2.0,2.0,87,0.16,,,0.02,Wunderground v.1.15,2017-04-10 09:00:00,
2017-04-10 02:06:00,43.9,40.9,29.94,SSW,198,2.0,4.0,89,0.11,,,0.04,Wunderground v.1.15,2017-04-10 09:06:00,
2017-04-10 02:12:00,43.6,41.1,29.94,SW,219,1.0,2.0,91,0.10,,,0.04,Wunderground v.1.15,2017-04-10 09:12:00,
2017-04-10 02:18:00,43.4,40.9,29.94,SSW,205,1.0,2.0,91,0.09,,,0.05,Wunderground v.1.15,2017-04-10 09:18:00,
2017-04-10 02:24:00,43.3,41.1,29.94,SW,221,1.0,1.0,92,0.07,,,0.06,Wunderground v.1.15,2017-04-10 09:24:00,
2017-04-10 02:30:00,43.2,41.0,29.94,SSW,205,0.0,1.0,92,0.07,,,0.06,Wunderground v.1.15,2017-04-10 09:30:00,
2017-04-10 02:36:00,43.1,41.2,29.94,SSW,213,0.0,1.0,93,0.05,,,0.07,Wunderground v.1.15,2017-04-10 09:36:00,
2017-04-10 02:42:00,43.1,41.2,29.94,SSW,204,0.0,1.0,93,0.05,,,0.07,Wunderground v.1.15,2017-04-10 09:42:00,
2017-04-10 02:47:00,43.0,41.1,29.95,SW,217,0.0,2.0,93,0.13,,,0.09,Wunderground v.1.15,2017-04-10 09:47:00,
2017-04-10 02:53:00,42.9,41.0,29.94,SSW,204,1.0,5.0,93,0.16,,,0.10,Wunderground v.1.15,2017-04-10 09:53:00,
2017-04-10 02:59:00,42.8,40.9,29.95,SW,230,1.0,5.0,93,0.16,,,0.12,Wunderground v.1.15,2017-04-10 09:59:00,
2017-04-10 03:05:00,42.6,40.7,29.95,SW,221,1.0,1.0,93,0.14,,,0.13,Wunderground v.1.15,2017-04-10 10:05:00,
2017-04-10 03:11:00,42.3,40.4,29.95,SSW,201,2.0,5.0,93,0.17,,,0.15,Wunderground v.1.15,2017-04-10 10:11:00,
