Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-16 00:01:00,40.8,38.4,30.12,WNW,294,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:01:00,
2017-04-16 00:07:00,40.7,38.3,30.12,WNW,295,0.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:07:00,
2017-04-16 00:13:00,40.5,38.1,30.12,WNW,295,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:13:00,
2017-04-16 00:18:00,40.2,37.8,30.12,WNW,295,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:18:00,
2017-04-16 00:24:00,40.0,37.9,30.12,WNW,295,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:24:00,
2017-04-16 00:30:00,39.9,37.8,30.12,WNW,295,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:30:00,
2017-04-16 00:36:00,40.0,38.1,30.12,WNW,295,0.0,0.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:36:00,
2017-04-16 00:41:00,39.9,37.8,30.12,WNW,295,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:41:00,
2017-04-16 00:47:00,39.7,37.6,30.11,WNW,295,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:47:00,
2017-04-16 00:53:00,39.6,37.7,30.11,WNW,295,0.0,0.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:53:00,
2017-04-16 00:59:00,39.4,37.5,30.11,WNW,295,0.0,0.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-16 07:59:00,
2017-04-16 01:05:00,39.7,38.1,30.11,WNW,295,0.0,1.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:05:00,
2017-04-16 01:11:00,39.6,37.5,30.11,WNW,295,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:11:00,
2017-04-16 01:17:00,40.0,38.1,30.11,WNW,295,0.0,1.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:17:00,
2017-04-16 01:23:00,39.9,37.5,30.11,NNW,334,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:23:00,
2017-04-16 01:29:00,39.9,37.5,30.11,NW,326,0.0,1.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:29:00,
2017-04-16 01:35:00,40.0,37.3,30.10,NNW,330,0.0,1.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:35:00,
2017-04-16 01:40:00,40.0,37.0,30.11,NNW,328,0.0,1.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:40:00,
2017-04-16 01:46:00,40.4,37.1,30.10,NW,325,0.0,1.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:46:00,
2017-04-16 01:52:00,40.4,36.8,30.10,NW,325,0.0,1.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:52:00,
2017-04-16 01:57:00,40.3,37.0,30.10,NW,325,0.0,1.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-16 08:57:00,
2017-04-16 02:03:00,39.9,36.6,30.09,NW,325,0.0,1.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:03:00,
2017-04-16 02:09:00,39.6,36.3,30.09,NW,325,0.0,1.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:09:00,
2017-04-16 02:14:00,39.2,36.2,30.09,NW,325,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:14:00,
2017-04-16 02:20:00,38.7,35.7,30.09,NW,325,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:20:00,
2017-04-16 02:26:00,38.5,36.1,30.09,NW,325,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:26:00,
2017-04-16 02:32:00,38.5,36.4,30.08,NW,325,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:32:00,
2017-04-16 02:37:00,38.5,36.4,30.08,NW,325,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:37:00,
2017-04-16 02:43:00,38.4,36.3,30.08,NW,325,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-16 09:43:00,
