Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-17 00:06:00,49.3,44.7,29.75,SSW,209,0.0,0.0,84,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:06:00,
2017-04-17 00:07:00,49.3,44.7,29.75,SSW,209,0.0,0.0,84,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:07:00,
2017-04-17 00:13:00,49.3,44.7,29.75,SSW,209,0.0,0.0,84,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:13:00,
2017-04-17 00:19:00,49.3,45.0,29.75,SSW,209,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:19:00,
2017-04-17 00:25:00,49.3,45.0,29.75,SW,215,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:25:00,
2017-04-17 00:30:00,49.2,44.9,29.75,SW,215,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:30:00,
2017-04-17 00:36:00,49.1,44.8,29.75,SW,215,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:36:00,
2017-04-17 00:42:00,49.0,44.7,29.75,SW,215,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:42:00,
2017-04-17 00:48:00,49.0,44.7,29.75,SW,215,0.0,0.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:48:00,
2017-04-17 00:59:00,48.9,44.9,29.75,SW,215,0.0,0.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-17 07:59:00,
2017-04-17 01:11:00,48.5,44.8,29.75,SW,215,0.0,0.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:11:00,
2017-04-17 01:17:00,48.2,44.5,29.75,SW,215,0.0,0.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:17:00,
2017-04-17 01:22:00,48.0,44.3,29.75,SW,215,0.0,0.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:22:00,
2017-04-17 01:28:00,47.8,44.1,29.74,SW,215,0.0,0.0,87,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:28:00,
2017-04-17 01:34:00,47.6,44.2,29.74,SW,215,0.0,0.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:34:00,
2017-04-17 01:40:00,47.4,44.0,29.75,SW,215,0.0,0.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:40:00,
2017-04-17 01:45:00,47.3,44.2,29.75,SW,215,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:45:00,
2017-04-17 01:51:00,47.2,44.1,29.75,SW,215,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:51:00,
2017-04-17 01:57:00,47.1,44.0,29.75,SW,215,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-17 08:57:00,
2017-04-17 02:03:00,46.9,43.8,29.75,SW,215,0.0,0.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:03:00,
2017-04-17 02:09:00,47.0,44.2,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:09:00,
2017-04-17 02:14:00,47.1,44.3,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:14:00,
2017-04-17 02:20:00,47.2,44.4,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:20:00,
2017-04-17 02:26:00,47.1,44.3,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:26:00,
2017-04-17 02:32:00,47.0,44.2,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:32:00,
2017-04-17 02:38:00,46.9,44.1,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:38:00,
2017-04-17 02:43:00,46.6,43.8,29.74,SW,215,0.0,0.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:43:00,
2017-04-17 02:49:00,46.4,43.9,29.74,SW,215,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:49:00,
2017-04-17 02:55:00,46.1,43.6,29.75,SW,215,0.0,0.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-17 09:55:00,
2017-04-17 03:01:00,46.0,43.8,29.74,SW,215,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:01:00,
2017-04-17 03:07:00,46.0,43.8,29.74,SW,215,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:07:00,
2017-04-17 03:12:00,45.9,43.7,29.74,SW,215,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:12:00,
2017-04-17 03:18:00,46.1,43.9,29.75,SW,215,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:18:00,
2017-04-17 03:24:00,46.3,44.1,29.75,SSW,212,0.0,0.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:24:00,
2017-04-17 03:30:00,46.7,44.5,29.75,SSW,201,0.0,1.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:30:00,
2017-04-17 03:36:00,47.7,44.3,29.76,WSW,238,1.0,2.0,88,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:36:00,
2017-04-17 03:42:00,48.5,44.5,29.76,SW,218,1.0,1.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:42:00,
2017-04-17 03:48:00,48.4,44.4,29.77,SSW,197,1.0,2.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:48:00,
2017-04-17 03:54:00,48.3,44.3,29.77,South,187,1.0,1.0,86,0.00,,,0.00,Wunderground v.1.15,2017-04-17 10:54:00,
2017-04-17 04:00:00,48.4,44.1,29.77,South,172,1.0,1.0,85,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:00:00,
2017-04-17 04:05:00,48.6,44.0,29.77,South,190,2.0,2.0,84,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:05:00,
2017-04-17 04:11:00,48.9,44.0,29.77,South,183,2.0,4.0,83,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:11:00,
2017-04-17 04:17:00,49.2,43.9,29.78,SSW,192,3.0,5.0,82,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:17:00,
2017-04-17 04:23:00,49.3,43.7,29.78,SSE,149,2.0,3.0,81,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:23:00,
2017-04-17 04:29:00,49.4,43.8,29.78,South,176,2.0,4.0,81,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:29:00,
2017-04-17 04:34:00,49.5,43.6,29.78,SW,226,2.0,7.0,80,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:34:00,
2017-04-17 04:40:00,49.5,43.3,29.78,SSW,203,2.0,4.0,79,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:40:00,
2017-04-17 04:46:00,49.5,43.3,29.78,SSW,200,3.0,4.0,79,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:46:00,
2017-04-17 04:52:00,49.5,42.9,29.78,South,172,3.0,6.0,78,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:52:00,
2017-04-17 04:58:00,49.6,43.0,29.78,SSW,205,3.0,6.0,78,0.00,,,0.00,Wunderground v.1.15,2017-04-17 11:58:00,
2017-04-17 05:03:00,49.6,42.7,29.79,SSE,150,3.0,4.0,77,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:03:00,
2017-04-17 05:09:00,49.7,42.8,29.78,SSW,198,3.0,4.0,77,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:09:00,
2017-04-17 05:15:00,49.7,43.1,29.79,ESE,106,3.0,3.0,78,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:15:00,
2017-04-17 05:21:00,49.6,43.0,29.79,SSE,167,2.0,2.0,78,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:21:00,
2017-04-17 05:27:00,49.6,42.7,29.79,SSW,203,1.0,3.0,77,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:27:00,
2017-04-17 05:33:00,49.7,42.8,29.79,SSW,195,2.0,2.0,77,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:33:00,
2017-04-17 05:39:00,49.8,42.9,29.79,SSE,150,2.0,6.0,77,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:39:00,
2017-04-17 05:45:00,49.8,42.5,29.79,SW,214,3.0,5.0,76,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:45:00,
2017-04-17 05:51:00,49.9,42.6,29.79,ESE,120,4.0,4.0,76,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:51:00,
2017-04-17 05:57:00,49.8,42.5,29.79,SSW,210,3.0,5.0,76,0.00,,,0.00,Wunderground v.1.15,2017-04-17 12:57:00,
2017-04-17 06:02:00,49.9,42.6,29.79,SSE,149,4.0,5.0,76,0.00,,,0.00,Wunderground v.1.15,2017-04-17 13:02:00,
2017-04-17 06:08:00,49.8,42.5,29.79,SE,138,4.0,6.0,76,0.00,,,0.00,Wunderground v.1.15,2017-04-17 13:08:00,
