Time,TemperatureF,DewpointF,PressureIn,WindDirection,WindDirectionDegrees,WindSpeedMPH,WindSpeedGustMPH,Humidity,HourlyPrecipIn,Conditions,Clouds,dailyrainin,SoftwareType,DateUTC
2017-04-18 00:01:00,49.6,46.5,29.86,SE,136,2.0,2.0,89,0.00,,,0.05,Wunderground v.1.15,2017-04-18 07:01:00,
2017-04-18 00:07:00,49.5,46.4,29.86,SSW,203,1.0,3.0,89,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:07:00,
2017-04-18 00:13:00,49.5,46.7,29.86,SE,145,2.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:13:00,
2017-04-18 00:19:00,49.3,46.5,29.86,ESE,110,2.0,4.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:19:00,
2017-04-18 00:25:00,49.2,46.4,29.86,SSW,195,1.0,3.0,90,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:25:00,
2017-04-18 00:31:00,49.1,46.6,29.86,SSE,162,2.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:31:00,
2017-04-18 00:37:00,49.0,46.5,29.87,SSE,156,2.0,3.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:37:00,
2017-04-18 00:43:00,48.9,46.4,29.86,SSW,200,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:43:00,
2017-04-18 00:49:00,48.8,46.3,29.87,SE,144,2.0,3.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:49:00,
2017-04-18 00:55:00,48.8,46.3,29.87,South,187,2.0,4.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 07:55:00,
2017-04-18 01:01:00,48.7,46.2,29.86,South,174,1.0,2.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:01:00,
2017-04-18 01:07:00,48.5,46.0,29.87,SSE,160,1.0,3.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:07:00,
2017-04-18 01:13:00,48.3,45.8,29.87,SE,130,0.0,3.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:13:00,
2017-04-18 01:19:00,48.1,45.9,29.86,SE,125,0.0,3.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:19:00,
2017-04-18 01:25:00,47.7,45.2,29.86,SE,125,0.0,3.0,91,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:25:00,
2017-04-18 01:30:00,47.3,45.1,29.86,ESE,122,0.0,3.0,92,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:30:00,
2017-04-18 01:36:00,47.1,45.2,29.86,ESE,122,0.0,3.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:36:00,
2017-04-18 01:41:00,46.8,44.9,29.86,ESE,122,0.0,3.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:41:00,
2017-04-18 01:46:00,46.6,44.7,29.86,ESE,122,0.0,3.0,93,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:46:00,
2017-04-18 01:52:00,46.7,45.3,29.86,East,97,0.0,3.0,95,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:52:00,
2017-04-18 01:58:00,46.7,45.1,29.86,East,97,0.0,3.0,94,0.00,,,0.00,Wunderground v.1.15,2017-04-18 08:58:00,
